campo_comum,ocorrencias
modalidade,Captar(text); Ajustes(text)
subcategoria,Captar(text); Ajustes(text)
mês,Captar(text); Panorama(text)
ano,Captar(text); Analisar(text)
col_2,Patrimonial(text); Envelope(text); Renda(text); Monitor(text); Analisar(text)
col_3,Patrimonial(text); Envelope(text); Renda(text); Analisar(text)
essencial,Patrimonial(text); Panorama(text)
agosto,Envelope(text); Monitor(text); Analisar(text)
2023.0,Envelope(text); Monitor(text); Analisar(text)
col_4,Envelope(text); Renda(text); Monitor(text); Analisar(text)
col_5,Envelope(text); Renda(text); Monitor(text); Analisar(text)
col_6,Envelope(text); Monitor(text); Analisar(text)
col_7,Envelope(text); Analisar(text)
col_8,Envelope(text); Monitor(text); Analisar(text)
col_9,Envelope(text); Monitor(text); Analisar(text); Ajustes(text)
col_10,Envelope(text); Monitor(text); Analisar(text); Ajustes(text)
col_11,Envelope(text); Monitor(text); Analisar(text); Ajustes(number)
col_12,Envelope(text); Analisar(text); Ajustes(number)
col_13,Envelope(text); Analisar(text); Ajustes(number)
col_14,Envelope(text); Analisar(text); Ajustes(number)
col_15,Envelope(text); Analisar(text); Ajustes(number)
col_16,Envelope(text); Analisar(text); Ajustes(number)
col_17,Envelope(text); Analisar(text)
col_19,Envelope(text); Analisar(text)
col,Analisar(text); Melhorando(text)
média - mês,Analisar(text); Analisar(text)
